# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G015162        27.985300       -14.198241       22.7013       22.6991       20.2849       0.71600000       0.70100000       0.72940000       -1.0000000       9.47105      0.334995
G015231        28.197680       -14.198206       21.8269       21.8258       18.6559       0.74210000       0.73070000       0.75340000       -1.0000000       10.5094       2.26440
G015166        28.166383       -14.197798       22.9532       22.9949       20.3976       0.72590000       0.71460000       0.89130000       -1.0000000       9.76919       2.04829
G015240        28.116384       -14.198207       21.8528       21.8811       19.3291       0.86830000       0.84710000       0.88150000       -1.0000000       10.0599       4.77113
G015199        28.134946       -14.197862       22.7961       22.7687       19.6569       0.85920000       0.84180000       0.87480000       -1.0000000       9.91000       3.19506
G015313        28.275098       -14.197685       22.4561       22.4938       19.9625       0.87790000       0.84370000       0.96800000       -1.0000000       10.0801       3.37561
G015451        28.114934       -14.196765       22.9961       23.0201       21.7440       0.65620000       0.52810000       0.72990000       -1.0000000       9.60620       3.26413
G015351        28.034250       -14.197664       21.8269       21.8264       19.8509       0.62280000       0.62010000       0.62900000       -1.0000000       9.34030      0.612596
G015183        28.129659       -14.197739       23.2102       23.2241       20.8905       0.70630000       0.69230000       0.86050000       -1.0000000       9.87842       2.21774
G015804        28.310152       -14.195410       22.7128       23.1603       20.1323       0.67480000       0.65830000       0.69480000       -1.0000000       9.64820       1.58030
G015359        28.068666       -14.196963       23.0203       23.0133       20.1356       0.89430000       0.86180000       0.91760000       -1.0000000       10.1370       2.19949
G015362        28.166651       -14.197572       21.8975       22.0239       19.1402       0.83400000       0.81710000       0.84980000       -1.0000000       10.1431       4.12700
G015717        28.334840       -14.196476       21.6515       21.7284       19.4723       0.76400000       0.76000000       0.76980000       -1.0000000       9.72553      0.705484
G015710        28.127141       -14.195597       23.2864       23.3186       21.5746       0.75590000       0.74620000       0.76470000       -1.0000000       9.03178       4.75358
G015754        28.072694       -14.196719       20.7262       20.8882       17.9349       0.66180000       0.65510000       0.66950000       -1.0000000       10.6870       1.88819
G015715        28.288188       -14.195861       22.2769       22.4158       20.7329       0.77220000       0.76350000       0.77960000       -1.0000000       9.62495       1.23147
G015744        28.103295       -14.195963       21.7833       21.9773       18.5056       0.66820000       0.64680000       0.69100000       -1.0000000       10.7135       3.23783
G015687        28.047329       -14.201811       20.8515       21.1167       18.1253       0.88940000       0.86780000       0.90770000       -1.0000000       10.7997       1.07760
G015827        28.317928       -14.194905       23.1265       23.1115       20.6747       0.76320000       0.74670000       0.77660000       -1.0000000       9.63636      0.653263
G015680        28.008692       -14.195947       23.2039       23.3776       21.4887       0.80700000       0.78480000       0.93010000       -1.0000000       9.75506       2.23424
G015885        28.084190       -14.195416       21.7265       21.7196       18.5777       0.72650000       0.72030000       0.73790000       -1.0000000       10.6386       1.75228
G015920        28.178270       -14.194642       23.1597       23.1430       20.1438       0.60470000       0.59720000       0.76690000       -1.0000000       10.0373       1.41676
