# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  1172  28.156165  -13.930423  0.8373 0  -5   22.497 0.007      22.723 0.005    21.324 0.003      21.524 0.002    20.696 0.003      20.898 0.002    20.29  0.045      20.3   0.051    19.571  0.04        19.58  0.046     1.2E11   
  1184  28.18555   -13.931554  0.8288 0  -5   23.105 0.017      23.342 0.012    21.89  0.007      22.108 0.005    21.246 0.006      21.448 0.005    20.757 0.055      20.74  0.062    19.987  0.048       19.962 0.054     9.6E10   
  1204  28.1763    -13.933547  0.8416 0  3    23.756 0.027      23.832 0.019    22.559 0.011      22.68  0.008    21.99  0.011      22.107 0.008    21.579 0.08       21.402 0.084    20.739  0.068       20.598 0.072     3.5E10   
  1225  28.181973  -13.934176  0.8399 0  -1   23.773 0.016      23.722 0.018    22.614 0.007      22.57  0.007    22.005 0.007      21.955 0.007    22.039 0.099      21.361 0.083    21.347  0.09        20.714 0.076     1.8E10   
  1226  28.150282  -13.934832  0.831  0  -2   23.22  0.015      23.295 0.011    21.997 0.006      22.087 0.004    21.357 0.006      21.458 0.004    21.033 0.064      20.901 0.068    20.323  0.058       20.186 0.061     6.2E10   
  1238b 28.157593  -13.935613  0.8456 1  7    26.221 0.032      25.976 0.043    25.736 0.025      25.831 0.044    25.559 0.036      25.756 0.071    25.965 0.712      26.816 4.015    25.223  0.535       24.103 0.437     2.7E8    
  1239  28.150659  -13.935531  0.865  0  -4   22.195 0.009      22.511 0.006    21.009 0.004      21.313 0.002    20.33  0.003      20.637 0.002    19.941 0.038      20.069 0.046    19.184  0.034       19.332 0.041     1.6E11   
  1246  28.168779  -13.935972  0.8306 0  -5   24.078 0.016      24.041 0.016    22.939 0.007      22.895 0.007    22.395 0.007      22.349 0.007    22.354 0.114      21.888 0.104    21.62   0.103       21.138 0.093     1.3E10   
  1258  28.158652  -13.940972  0.8394 1  1    22.145 0.01       22.87  0.006    21.075 0.004      21.711 0.003    20.519 0.004      21.114 0.003    19.977 0.039      20.344 0.052    19.162  0.034       19.489 0.044     2.0E11   
  1278  28.176774  -13.938322  0.8215 0  -2   22.414 0.008      22.839 0.006    21.247 0.004      21.581 0.002    20.611 0.003      20.911 0.002    20.123 0.041      20.207 0.049    19.34   0.036       19.404 0.042     1.6E11   
